no,fileName,encryptionMethod,encryptionTime,decryptionTime
1,test-short,aes,2.0143985748291016,2.0351409912109375
2,test-short,aes,0.9629726409912109,2.000570297241211
3,test-short,aes,1.9998550415039062,2.035379409790039
4,test-short,aes,2.0296573638916016,1.0247230529785156
5,test-short,aes,1.0006427764892578,2.027750015258789
6,test-short,aes,1.962900161743164,1.0304450988769531
7,test-short,aes,2.0017623901367188,1.9991397857666016
8,test-short,aes,1.9707679748535156,1.9993782043457031
9,test-short,aes,0.9984970092773438,2.001047134399414
10,test-short,aes,1.0323524475097656,1.0249614715576172
1,test-long,aes,4.003047943115234,4.963874816894531
2,test-long,aes,5.970239639282227,3.997325897216797
3,test-long,aes,3.95965576171875,5.001068115234375
4,test-long,aes,5.00178337097168,5.000591278076172
5,test-long,aes,3.9985179901123047,4.000186920166016
6,test-long,aes,4.032611846923828,3.9968490600585938
7,test-long,aes,5.001306533813477,3.999948501586914
8,test-long,aes,5.001068115234375,4.000186920166016
9,test-long,aes,3.9758682250976562,3.964662551879883
10,test-long,aes,3.999471664428711,4.99415397644043
1,test-short,des,0.99945068359375,2.000093460083008
2,test-short,des,1.9989013671875,0.99945068359375
3,test-short,des,1.9989013671875,1.9998550415039062
4,test-short,des,0.9999275207519531,2.0258426666259766
5,test-short,des,0.9810924530029297,3.0014514923095703
6,test-short,des,2.0346641540527344,1.9993782043457031
7,test-short,des,0.9987354278564453,2.0341873168945312
8,test-short,des,2.0067691802978516,0.9753704071044922
9,test-short,des,0.9720325469970703,2.031087875366211
10,test-short,des,2.034425735473633,0.9999275207519531
1,test-long,des,19.038915634155273,17.989635467529297
2,test-long,des,18.016576766967773,15.992164611816406
3,test-long,des,16.00050926208496,18.00251007080078
4,test-long,des,16.999244689941406,15.000104904174805
5,test-long,des,17.99917221069336,16.03412628173828
6,test-long,des,16.9985294342041,18.038272857666016
7,test-long,des,15.997886657714844,16.000986099243164
8,test-long,des,16.034841537475586,16.000747680664062
9,test-long,des,18.001079559326172,19.999027252197266
10,test-long,des,16.999244689941406,16.003847122192383
1,test-short,rc4,0.99945068359375,1.9998550415039062
2,test-short,rc4,1.0380744934082031,1.0001659393310547
3,test-short,rc4,1.9996166229248047,2.000093460083008
4,test-short,rc4,0.9989738464355469,0.9996891021728516
5,test-short,rc4,1.0006427764892578,2.0003318786621094
6,test-short,rc4,0.9999275207519531,2.035379409790039
7,test-short,rc4,2.9997825622558594,1.0263919830322266
8,test-short,rc4,0.9982585906982422,1.955270767211914
9,test-short,rc4,0.9608268737792969,2.0351409912109375
10,test-short,rc4,0.9968280792236328,1.9998550415039062
1,test-long,rc4,4.035711288452148,6.035327911376953
2,test-long,rc4,2.9993057250976562,2.9935836791992188
3,test-long,rc4,3.9980411529541016,5.003213882446289
4,test-long,rc4,3.9606094360351562,4.995822906494141
5,test-long,rc4,3.9958953857421875,5.03087043762207
6,test-long,rc4,4.976511001586914,3.9658546447753906
7,test-long,rc4,4.000663757324219,4.021406173706055
8,test-long,rc4,5.002498626708984,4.9991607666015625
9,test-long,rc4,2.9795169830322266,4.97746467590332
10,test-long,rc4,6.001472473144531,3.997325897216797
1,test-short,diy_aes,0.9603500366210938,2.9976367950439453
2,test-short,diy_aes,1.9774436950683594,2.0313262939453125
3,test-short,diy_aes,0.9980201721191406,1.028299331665039
4,test-short,diy_aes,1.9991397857666016,3.002166748046875
5,test-short,diy_aes,1.9979476928710938,1.997232437133789
6,test-short,diy_aes,1.9981861114501953,1.9991397857666016
7,test-short,diy_aes,0.9996891021728516,0.9968280792236328
8,test-short,diy_aes,2.0008087158203125,1.964569091796875
9,test-short,diy_aes,1.0335445404052734,2.0029544830322266
10,test-short,diy_aes,1.9986629486083984,1.9884109497070312
1,test-long,diy_aes,8861.973762512207,8700.974941253662
2,test-long,diy_aes,9149.00803565979,9568.97258758545
3,test-long,diy_aes,9374.93920326233,9545.165300369263
4,test-long,diy_aes,9035.972595214844,8728.00874710083
5,test-long,diy_aes,8345.979690551758,8432.97266960144
6,test-long,diy_aes,9041.96047782898,11761.008501052856
7,test-long,diy_aes,10308.974266052246,8734.975337982178
8,test-long,diy_aes,8371.962308883667,8836.973905563354
9,test-long,diy_aes,8266.977548599243,8392.964601516724
10,test-long,diy_aes,8429.941177368164,8455.966472625732
